,name,total_rating,cost_rank,abv,cask_type,smoky,peaty,spicy,herbal,oily,full_bodied,rich,sweet,briny,salty,vanilla,tart,fruity,floral
721,Brora 34 Year (2017 Special Release),8,5,51.9,refill American oak hogheads,60,30,50,20,10,50,40,40,20,30,40,20,40,20
722,Blair Athol 23 Year (2017 Special Release),14,5,58.4,ex-bodega European oak butts,30,0,70,40,80,70,80,60,0,10,40,30,50,20
723,Highland Park 12 Year Viking Honour,2241,3,43.0,ex-sherry,40,50,40,30,50,60,70,80,20,30,60,50,70,40
724,Fukano Whisky (2017 Edition),29,3,42.8,used whisky and French red wine barrels,5,0,30,35,35,35,40,40,25,10,15,40,40,60
725,Hirsch Small Batch High-Rye Straight Bourbon 8 Year,77,3,46.0,"new, charred American oak with char #4 bodies and char #2 heads",15,0,70,25,30,50,55,40,15,10,35,20,10,20
726,Abraham Bowman Sequential Series 4th Use Barrels,4,3,50.0,"new, charred American oak; finished in 4th fill barrels",15,0,40,15,35,55,60,60,5,0,40,20,25,10
727,J.P. Wiser's One Fifty,17,2,43.4,Virgin Oak and Canadian Whisky Casks,35,0,45,15,15,40,45,50,10,0,35,25,45,20
728,Woodford Reserve Blended Rye Whiskey,20,4,45.2,"new, charred American oak & used bourbon barrels",10,0,30,35,35,40,35,40,15,10,40,40,35,25
729,Kilchoman Loch Gorm (2017 Edition),44,3,46.0,ex-Oloroso sherry butts,90,90,5,0,10,10,15,40,95,90,25,0,40,10
730,Hochstadter's Family Reserve Straight Rye Whiskey,49,5,61.9,,20,0,80,70,30,90,60,50,0,0,70,30,0,0
731,Yula 21 Year,0,5,52.3,,40,35,45,20,25,45,50,40,35,35,40,40,50,25
732,Bruichladdich The Laddie 10 Year (2nd Edition),59,4,50.0,"first-fill bourbon, sherry, and French wine casks",20,0,30,20,30,60,70,60,30,30,60,40,50,60
733,Pike Creek 10 Year Rum Barrel Finish,324,2,42.0,ex bourbon and ex rum,40,0,45,10,10,50,60,55,0,0,50,0,50,20
734,David Nicholson Reserve Bourbon,390,2,50.0,"new, charred American oak",15,0,35,10,35,30,60,50,10,0,35,15,10,10
735,Wild Turkey Master's Keep Decades,326,4,52.0,"new, charred american oak",8,0,84,30,30,60,70,72,8,5,70,15,55,80
736,Compass Box Spice Tree Extravaganza,72,4,46.0,"First-fill sherry, Refill American, Refill Hybrid, Light/Medium Hybrid, and Heavy Toast Hybrid",0,0,50,30,30,60,70,70,0,0,70,0,50,0
737,Woodford Reserve Master's Collection Brandy Cask Finish,195,4,45.2,"new, charred American oak and ex-American brandy",0,0,50,30,65,85,90,75,0,0,80,15,85,25
738,Macallan Edition No. 2,318,4,48.2,"Tevasa European Oak, Diego Martin American & European Oak, Jose Miguel Martin European Oak, and Vasyma American oak ",10,0,30,0,50,70,80,70,0,0,30,20,80,20
739,Thomas H. Handy Sazerac Rye (Fall 2016),99,4,63.1,"new, charred American oak",20,0,80,60,0,60,40,40,0,0,40,20,0,0
740,Kavalan Solist Manzanilla Single Cask Strength,21,5,50.0,ex-Manzanilla sherry cask,0,0,40,20,10,50,60,50,20,30,50,10,40,10
741,anCnoc 22 Year,32,4,46.0,ex-bourbon and ex-sherry,30,0,30,20,25,80,55,85,5,5,40,70,65,50
742,Woody Creek Colorado Straight 100% Rye,108,2,45.0,"charred, new white American Oak",0,0,25,15,0,60,40,30,0,0,10,15,30,8
743,Laws Single Barrel Secale Straight Rye,77,4,55.4,"new, charred American oak",5,0,55,10,10,40,30,20,0,0,30,0,15,5
744,Caol Ila 25 Year,91,5,43.0,some ex-sherry European oak barrels used,30,20,50,30,40,60,50,40,20,40,40,30,30,0
745,Suntory The Chita Single Grain,686,2,43.0,,5,7,50,20,12,11,15,60,15,17,35,25,70,40
746,"Booker's Bourbon Batch 2016-02 ""Annis' Answer""",116,3,63.35,"new, charred American oak",15,0,40,10,15,80,80,80,0,0,50,30,40,0
747,Teeling Single Cask Single Malt White Burgundy Finish,29,4,58.8,"ex-bourbon, finished in ex-white Burgundy barrels",0,0,40,10,30,60,60,50,0,0,40,30,70,30
748,Forty Creek Evolution,8,3,43.0,American white oak and French oak cabernet sauvingon wine barrels,40,0,50,20,0,50,50,40,30,10,50,60,60,55
749,Glenmorangie The Quarter Century 25 Year,28,5,43.0,"ex-bourbon American oak, ex-red Wine French oak, ex-Oloroso Spanish oak",0,0,35,20,45,55,50,65,0,20,65,50,70,65
750,Century Reserve 21 Year Canadian Whisky,11,2,40.0,,50,0,45,0,10,50,60,55,0,0,60,20,40,25
751,Highland Park Ice Edition,52,5,53.9,ex-bourbon,50,35,60,20,30,60,50,35,30,20,40,20,55,35
752,Lagavulin 8 Year,1597,3,48.0,refill American oak,60,50,20,20,40,50,40,40,50,50,20,10,60,40
753,Hibiki Harmony Japanese Harmony Master's Select,491,3,43.0,,10,10,40,15,25,23,35,60,21,17,32,23,70,40
754,Balcones True Blue Cask Strength,126,4,61.2,,20,0,40,20,70,65,60,40,15,10,35,15,25,20
755,Woodford Reserve Frosty Four Wood Bourbon,18,4,45.2,"American oak, maple wood, sherry wood, and port",0,0,50,10,40,60,70,30,10,0,30,10,20,10
756,Aberfeldy 16 Year,236,4,40.0,finished in Oloroso sherry,40,0,45,10,10,50,50,50,10,0,40,30,55,35
757,Slaughter House American Whiskey,376,2,44.0,American oak and ex-red wine barrels,10,0,20,0,30,60,50,50,0,0,40,0,30,20
758,Glenmorangie Duthac,201,3,43.0,ex-bourbon; finished in a combination of Pedro Ximenez sherry and virgin oak,30,0,60,20,40,80,90,80,0,20,70,30,70,70
759,Garrison Brothers Texas Straight Bourbon Whiskey (2015 Release),141,3,47.0,"new, charred American oak",20,0,40,10,20,50,70,60,0,0,60,0,0,10
760,Jim Beam Signature Craft Triticale Bourbon 11 Year,32,4,45.0,"new, charred American oak",30,0,60,0,20,60,50,60,0,0,70,0,10,0
761,Lagavulin 12 Year (2012 Special Release),154,4,56.1,refill American oak,65,80,60,34,15,40,40,40,35,35,15,20,25,0
762,Dobson's Empire 8 Cask Strength Single Malt,4,4,60.0,"stainless steel w/oak slabs, ex-shiraz casks, ex-chardonnay casks, ex-madeira casks",20,30,30,10,50,40,60,60,10,10,80,30,50,50
763,George T. Stagg Bourbon (Fall 2015),113,3,69.1,"new, charred American oak",30,0,60,10,60,70,60,40,0,0,40,20,10,10
764,Heartwood Devil May Care Single Malt,4,5,67.1,ex-bourbon,30,20,50,30,30,50,50,40,20,30,60,60,60,50
765,Benromach 15 Year,199,3,43.0,ex-bourbon & ex-Sherry,20,25,35,30,10,60,60,30,20,20,15,45,30,0
766,Westland Single Cask Release #50,7,3,55.0,"new, charred American oak",20,20,60,0,40,90,90,70,0,10,70,20,50,60
767,Oban Little Bay,1079,3,43.0,finished in small oak casks,20,10,40,30,30,60,30,70,30,20,40,20,80,70
768,Abraham Bowman Coffee Finished Bourbon,2,3,67.3,finished in a bourbon-washed barrel which previously held coffee beans,30,0,80,30,40,100,100,60,0,0,60,0,10,0
769,Big Bottom Barlow Trail Port Cask Finish,29,2,45.5,"new, charred American oak; finished in ex-port casks",0,0,50,20,50,80,50,60,0,10,70,0,80,30
770,Jura 1976 Feith A' Chaorainn 35 Year,3,5,46.0,ex-bourbon,30,30,70,50,80,80,80,80,60,50,70,50,80,30
771,Journeyman Distillery Federalist 12th Organic Rye,33,2,45.0,"new, charred American oak",40,0,80,40,40,70,80,70,0,20,50,30,40,20
772,Craigellachie 23 Year,53,5,46.0,,25,5,65,60,15,45,55,50,5,5,45,20,45,10
773,Highland Park Loki,37,5,48.7,ex-sherry and heavily peated oak casks,60,60,60,20,20,50,50,50,40,40,20,20,55,20
774,Bruichladdich Islay Barley Rockside Farm 2007,192,3,50.0,ex-bourbon,40,10,65,75,30,60,60,75,50,35,60,65,80,45
775,Balvenie Single Barrel 25 Year,31,5,47.8,refill American oak,30,70,40,60,50,60,60,70,30,20,50,20,50,30
776,Lot No. 40 Canadian Rye,653,2,43.0,,30,0,90,40,20,80,70,60,0,10,60,10,40,10
777,Journeyman Distillery Silver Cross Four Grain Whiskey,165,2,45.0,"""small barrels""",50,0,90,40,20,70,60,70,0,0,60,40,40,20
778,Colkegan Single Malt Whiskey,194,2,46.0,new and used American oak,80,50,80,50,30,70,60,50,50,20,40,30,30,40
779,Cragganmore 21 Year,17,5,56.0,2nd & 3rd fill ex-bourbon,15,15,55,45,40,55,55,45,0,10,20,25,60,10
780,Compass Box Peat Monster 10th Anniversary,63,4,48.9,"1st & refill ex-bourbon, new French oak",10,60,20,30,20,40,40,70,10,20,50,10,60,40
781,Springbank Rum Wood Finish 16 Year,8,4,54.2,ex-bourbon and ex-rum casks,15,25,60,40,80,90,95,90,40,65,85,10,90,80
782,Springbank Amontillado Single Cask 12 Year,4,4,55.3,ex-Amontillado sherry cask,20,25,70,65,65,85,90,75,55,75,70,15,88,60
783,Royal Salute 62 Gun Salute,13,5,43.0,,20,0,60,10,10,60,70,70,0,0,30,30,80,10
784,Port Charlotte Islay Barley,349,4,50.0,European and American oak mix,40,70,20,30,30,50,40,40,80,50,50,20,60,20
785,George Dickel Barrel Select,691,2,43.0,"new, charred American oak",40,0,70,30,50,80,85,80,0,10,75,0,80,65
786,Rock Hill Farms Bourbon,1040,3,50.0,"new, charred American oak",20,0,84,74,78,79,78,72,0,0,74,68,67,65
787,Bernheim 7 Year Original Wheat Whiskey,1143,2,45.0,"new, charred American oak",10,0,50,30,30,50,50,80,0,0,40,30,60,40
788,Temperance Trader American Whiskey,14,2,41.0,used bourbon barrels,40,0,70,60,20,50,50,50,0,0,40,50,40,60
789,Henry McKenna 10 Year Bottled in Bond Bourbon,5091,2,50.0,"new, charred American oak",40,0,80,70,20,90,80,70,0,0,70,40,40,40
790,Westland Peat Week 2014 Single Cask #283,4,3,61.0,1st fill ex-bourbon,60,60,50,70,20,50,60,60,20,20,40,40,50,20
791,Girvan Patent Still Single Grain 25 Year,9,5,42.0,"refill American oak, European oak",0,0,60,30,30,50,50,80,0,0,40,40,80,30
792,Arran Amarone Cask Finish Single Malt,211,3,50.0,"ex-bourbon, ex-Amarone wine cask",0,0,40,20,30,60,60,70,0,20,40,40,90,50
793,Stronachie 18 Year,17,4,46.0,ex-bourbon & ex-sherry,20,20,40,40,40,70,70,70,10,10,50,40,80,30
794,BenRiach Sauternes Finish 16 Year,22,4,46.0,"ex-bourbon, ex-Sauternes",10,0,60,30,20,60,60,80,0,0,30,50,80,40
795,GlenDronach Original 12 Year,2209,3,43.0,"ex-Oloroso sherry, ex-Pedro Ximenez sherry",20,0,50,40,50,60,60,60,0,20,60,40,70,30
796,Glenfarclas 25 Year,532,5,43.0,ex-bourbon and ex-sherry ,20,0,60,40,30,70,70,60,0,10,40,50,80,30
797,The Irishman 12 Year Single Malt,114,3,43.0,1st fill ex-bourbon,20,0,50,40,20,50,60,60,0,0,40,40,40,10
798,Knappogue Castle 12 Year Bourbon Cask Matured,878,2,40.0,ex-Bourbon,30,0,50,40,30,80,80,80,10,20,60,30,70,40
799,Tyrconnell 10 Year Madeira Cask Finish,121,3,46.0,oak barrels finished in Madeira casks,20,0,60,40,40,60,60,60,10,40,60,30,70,30
800,Bunnahabhain 25 Year,158,5,46.3,refill ex-sherry casks,20,20,60,20,40,70,70,70,20,40,40,20,80,20
801,Nikka Coffey Grain Whisky,2734,3,40.0,,10,0,40,30,50,80,80,80,10,10,70,30,70,10
802,Macallan 25 Year Sherry Oak Cask,273,5,43.0,ex-Sherry,20,0,60,20,40,70,70,60,0,0,40,20,80,40
803,The Glenrothes 1995,150,3,43.0,"70% refill ex bourbon, 30% 1st fill sherry from European and American oak",20,0,70,20,20,80,80,90,10,10,60,30,80,30
804,Dalwhinnie 15 Year,3440,3,43.0,,20,20,50,40,30,90,90,90,20,40,70,30,70,70
805,Balvenie Single Barrel 15 Year,716,4,47.8,ex-Bourbon,30,20,60,20,40,60,60,70,10,10,60,50,70,40
806,Black Maple Hill Limited Edition Orange Label,241,2,47.5,American Oak,40,0,60,40,60,80,70,30,10,30,30,30,60,40
807,Weller Special Reserve Bourbon,6845,2,45.0,"new, charred American oak",20,0,30,20,50,60,70,80,0,10,30,20,70,30
808,Balcones True Blue 100 Proof,203,3,50.0,American Oak,60,0,60,10,50,70,60,40,0,10,20,40,40,0
809,Rowan's Creek,2216,2,50.0,charred american,30,0,50,0,60,60,50,20,10,10,20,40,40,0
810,Jack Daniel's Gentleman Jack,3919,2,40.0,"new, charred American oak",30,0,20,0,50,50,60,80,0,30,70,10,90,20
811,Yamazaki 12 Year,2859,4,43.0,"American Oak, Spanish Sherry, Japanese Mizunara",20,30,40,20,10,60,50,70,10,20,70,60,70,50
812,Glenfarclas 15 Year,617,3,46.0,European oak ex-oloroso sherry cask,35,20,40,0,0,55,55,60,0,10,55,40,60,15
813,Amrut Intermediate Sherry,80,4,57.1,ex-bourbon / ex-sherry,30,15,60,20,20,40,60,50,10,15,50,25,60,25
814,Highland Park 12 Year,3885,3,40.0,ex-sherry,40,50,40,30,50,60,70,80,20,30,60,50,70,40
815,Bowmore 12 Year,3138,2,40.0,ex-bourbon,40,50,30,10,30,60,70,80,40,60,70,30,70,30
816,Elmer T. Lee Single Barrel Bourbon,3108,2,45.0,"new, charred American oak",40,0,70,30,50,60,60,50,10,10,40,30,40,30
817,Eagle Rare 10 Year Bourbon,11300,2,45.0,"new, charred American oak",5,0,30,5,0,70,65,80,0,0,40,0,40,10
818,Kentucky Owl Takumi Edition Bourbon,23,4,50.0,"new, charred American oak",10,0,50,40,50,70,80,60,0,10,80,50,20,0
819,Russell's Reserve Single Rickhouse Camp Nelson C,13,5,56.2,"new, charred American oak",50,0,45,40,10,50,50,30,0,0,55,45,30,0
820,Larceny Barrel Proof Bourbon Batch C922,51,3,63.3,"new, charred American oak",5,0,40,10,20,85,80,60,0,3,20,15,30,0
821,Bruichladdich Islay Barley 2013,14,3,50.0,75% first-fill ex-American whiskey casks & 25% French ex-wine casks,20,0,45,20,30,50,50,55,0,0,15,30,75,0
822,Remus Repeal Reserve Series VI (2022 Medley),32,4,50.0,"new, charred American oak",30,0,55,25,15,55,55,45,0,0,50,45,35,0
823,Craigellachie 13 Year Armagnac Cask Finish,11,3,46.0,Armagnac cask finish,30,0,20,40,70,60,70,60,0,0,50,20,80,60
824,Woodford Reserve Master's Collection Batch Proof 118.4,36,4,59.2,"new, charred American oak",10,0,40,50,30,80,80,60,0,20,90,60,40,10
825,Port Charlotte SC:01 2012,10,4,55.2,"combo of sherry butts, first and second-fill American whiskey cask; finished in Sauternes casks",45,55,35,65,35,50,50,55,35,30,15,40,55,15
826,Compass Box Ultramarine,8,5,51.0,various casks ,60,30,25,20,10,45,45,60,15,0,10,5,20,3
827,New Riff Malted Rye Finished in Sherry Casks,8,3,56.35,"new, charred American oak; finished in oloroso & PX sherry casks",10,0,50,40,20,80,90,50,0,10,70,50,80,20
828,Jefferson's Ocean Aged at Sea Voyage 26 Rye,70,3,48.0,finished in char 3 (75%) and toasted barrels (25%),10,0,70,15,20,55,55,70,0,10,30,10,25,10
829,Thomas S. Moore Madeira Cask Finished Bourbon,5,3,48.25,"new, charred American oak; finished in Madeira casks",35,0,55,10,10,65,65,65,0,0,25,35,70,10
830,Smooth Ambler Founders' Cask Strength Series Rye (2021 Edition),11,3,61.8,"new, charred American oak ",5,0,65,25,10,60,60,30,0,0,20,5,15,5
831,Starward Octave Barrels (Yalumba The Octavious),5,3,48.0,American oak ex-shiraz wine barrels ,0,0,65,15,35,55,55,60,0,0,20,20,80,20
832,Barrell Bourbon New Year 2022,24,4,57.67,"new, charred American oak ",20,0,50,40,20,90,70,50,0,0,90,60,80,20
833,Cedar Ridge Bottled in Bond Rye,6,2,50.0,"new, charred American oak",10,0,70,90,30,70,60,50,0,20,80,20,10,0
834,FEW Bottled in Bond Bourbon (2021 Release),8,2,50.0,"new, charred Minnesota oak barrels",30,0,80,40,0,70,80,50,0,0,90,10,20,0
835,Redwood Empire Rocket Top Bottled in Bond Rye (Spring 2016 Vintage),14,4,50.0,"new, charred American oak",30,0,75,50,15,45,45,40,0,0,20,55,45,0
836,Redwood Empire Grizzly Beast Bottled in Bond Bourbon (Spring 2016 Vintage),21,3,50.0,"new, charred American oak",30,0,35,10,15,45,45,45,0,0,35,35,80,0
837,Good Deeds American Malt Whiskey,0,3,46.0,,50,10,50,20,10,70,80,60,0,10,80,40,70,30
838,King of Kentucky 14 Year Kentucky Straight Bourbon (2021 Release),15,5,65.0,"new, charred American oak",30,0,60,40,20,90,70,50,0,30,80,40,20,0
839,Castle & Key Restoration Rye 2021 (Batch #3),10,2,52.5,"new, charred American oak ",20,0,60,30,20,70,80,60,0,0,80,30,50,20
840,Octomore 12.3,16,5,62.1,"ex-bourbon, PX Solera ",90,70,30,10,30,80,50,60,10,40,50,30,70,50
841,Crown Royal 18 Year,21,5,40.0,,5,0,50,55,5,45,45,60,0,0,15,20,40,10
842,Torabhaig Allt Gleann The Legacy Series 2nd Edition,51,2,46.0,1st fill & refill ex-bourbon casks,35,20,10,25,50,45,35,25,20,10,40,20,20,15
843,Parker's Heritage Heavy Char Wheat Whiskey 11 Year,49,4,62.0,"new, charred American oak (char #5)",45,0,35,30,45,45,45,55,0,0,50,35,30,0
844,M&H APEX Pomegranate Wine Cask,21,4,60.3,"ex-bourbon, finished in pomegranate wine cask",0,0,20,10,10,80,90,60,0,0,70,30,90,80
845,Watershed Bourbon Bottled-in-Bond,48,2,50.0,"new, charred American oak ",5,0,20,10,15,50,50,60,0,0,30,20,55,0
846,Westland American Single Malt,31,3,46.0,"new American oak, used American oak, first-fill bourbon, first & second fill oloroso hogsheads & butts",60,40,50,60,30,80,70,40,0,0,80,40,20,0
847,Wyoming Whiskey National Parks Limited Edition,7,2,46.0,,30,0,50,50,10,70,90,60,0,0,90,20,10,0
848,Ardbeg Traigh Bhan 19 Year Batch 3 (2021),18,5,46.2,,50,40,60,30,10,50,50,30,20,10,15,10,20,5
849,Jefferson's Reserve Single Barrel,54,3,50.0,"new, charred American oak",30,0,60,30,10,80,50,40,0,0,70,30,10,0
850,Port Askaig 12 Year Autumn Edition (Bottled 2020),19,3,45.8,"American oak hogsheads, oloroso sherry butts, solera sherry butts",35,40,35,20,60,70,70,65,25,20,65,20,35,20
851,Ardbeg Arrrrrrrdbeg!,33,5,51.8,ex-rye casks,50,70,55,45,45,55,55,55,40,40,40,35,40,0
852,Lagavulin Offerman Edition Guinness Cask Finish,204,3,46.0,finished in Guinness casks,60,80,30,60,40,70,60,50,0,10,90,50,10,20
853,Thomas S. Moore Port Cask Finished Bourbon,69,3,49.45,"new, charred American oak; finished in port wine casks",0,0,25,25,0,85,80,65,0,5,30,25,70,5
854,Blue Run 13 Year Kentucky Straight Bourbon,33,5,56.5,"new, charred American oak",35,0,70,10,15,65,65,65,0,0,35,25,60,0
855,Waterford Organic Gaia Edition 1.1,19,4,50.0,"first-fill American oak, virgin American oak, ex-Vin Doux Naturel casks, and French oak",0,0,40,20,40,55,35,20,0,0,20,25,55,20
856,Woodford Reserve Baccarat Edition,8,5,45.2,"new, charred American oak; finished in French oak cognac barrels",45,0,35,0,15,55,55,75,0,0,25,30,70,15
857,Macallan Edition No. 6,61,4,48.6,American & European sherry-seasoned oak casks,10,0,70,30,60,70,90,60,0,10,50,30,80,40
858,Big Peat Christmas (2020 Release),12,3,53.1,,40,50,25,25,35,50,35,20,30,20,35,20,10,15
859,Yellowstone Kentucky Straight Bourbon 7 Year (2020 Limited Edition),81,4,50.5,"new, charred American oak; finished in French oak armagnac barrels",15,0,60,20,65,75,70,65,10,5,65,25,30,20
860,Waterford Sheestown Edition 1.1,7,4,50.0,French & American oak,0,0,25,20,45,40,45,30,0,0,20,30,20,30
861,Old Fitzgerald Bottled in Bond 9 Year (Spring 2020),75,4,50.0,"new, charred American oak",30,0,30,45,15,45,45,75,0,10,40,45,40,0
862,George Dickel 11 Year Bottled in Bond Tennessee Whisky (Fall 2008),325,2,50.0,"new, charred American oak",0,0,45,0,0,75,65,20,0,0,32,15,50,0
863,Wild Turkey Master's Keep Bottled in Bond 17 Year,109,5,50.0,"new, charred American oak",25,0,30,5,20,85,80,60,0,5,35,20,30,0
864,Cragganmore 20 Year (2020 Special Release),9,5,55.8,"refill & new, freshly-charred casks",10,0,20,20,40,35,30,20,0,0,25,30,35,10
865,Talisker 8 Year (2020 Special Release),41,4,57.9,pot still Caribbean rum cask finish,30,25,35,20,20,50,40,20,35,25,10,25,20,10
866,Balvenie Tun 1509 Batch 7,6,5,52.4,"sherry hogshead, ex-bourbon, and Doublewood refill sherry butts",5,0,30,10,8,60,70,80,0,0,40,5,60,10
867,Woodford Reserve Master's Collection Very Fine Rare Bourbon,108,4,45.2,"new, charred American oak",40,0,45,25,15,45,45,55,0,0,35,35,60,0
868,Ardbeg Blaaack,110,4,46.0,New Zealand pinot noir casks,45,50,20,10,25,35,35,30,10,15,20,15,35,10
869,GlenAllachie 11 Year Moscatel Wood Finish,4,3,48.0,"American oak, finished in moscatel wine barriques",0,0,20,10,35,40,35,25,0,0,25,30,40,15
870,GlenAllachie 11 Year Port Wood Finish,12,3,48.0,American oak finished in ruby port pipes,0,0,20,10,55,45,35,35,0,0,15,20,35,20
871,Westland Holy Mountain Cask Exchange,1,4,50.0,,10,0,70,80,20,70,70,50,0,0,80,60,80,20
872,Port Askaig 18 Year Single Cask (US Exclusive),2,5,50.8,ex-bourbon,45,60,50,60,15,40,40,45,35,35,20,35,30,0
873,FUJI 30 Year Single Grain,2,5,46.0,,10,0,70,40,50,60,70,40,0,10,70,40,80,70
874,Mackmyra Grönt Te,18,3,46.1,finished with ex-oloroso sherry casks (steeped with Japanese Green Tea),0,0,25,40,30,35,35,40,5,5,25,20,20,30
875,Ardbeg Blaaack (2020 Committee Release),72,4,50.7,New Zealand pinot noir casks,50,85,65,55,20,45,45,40,30,30,25,35,20,0
876,The Whistler Calvados Cask Finish,17,2,43.0,"ex-bourbon barrels, French oak calvados casks",5,0,50,35,55,60,65,70,5,5,50,25,65,35
877,The Dublin Liberties Murder Lane 13 Year,8,4,46.0,"ex-bourbon barrels, finished in Hungarian Tokaji wine casks",5,0,25,20,60,65,70,70,10,5,60,20,45,35
878,Mortlach 15 Year (Game of Thrones Six Kingdoms),76,4,46.0,first-fill sherry-seasoned casks; finished in American oak ex-bourbon,10,0,45,20,55,60,65,60,20,5,50,15,25,25
879,Westward Pinot Noir Cask Finish,43,4,45.0,finished in Oregon pinot noir wine casks,10,0,60,50,20,70,80,60,0,0,70,40,80,20
880,Lot No. 40 Cask Strength Third Edition,26,4,57.0,new French oak & new oak,60,0,50,30,15,45,50,40,15,5,35,25,35,25
881,GlenDronach Cask Strength Batch 8,36,4,61.0,oloroso and Pedro Ximénez sherry casks,0,0,60,30,70,80,90,80,0,0,70,20,80,0
882,Aberfeldy Exceptional Cask Series 19 Year Single Cask,5,5,56.6,sherry butt,5,0,45,40,65,70,65,70,10,5,65,10,25,10
883,Bardstown Bourbon Co. Copper & Kings Muscat Mistelle Finish,15,5,49.95,"new, charred American oak & ex-Muscat Mistelle barrels",20,0,30,70,10,80,90,70,0,0,60,40,90,70
884,Octomore 10.3/114 Islay Barley,38,5,61.3,first-fill American oak whiskey barrels,40,30,10,25,30,50,55,30,10,25,30,10,25,10
885,Thomas H. Handy Sazerac Rye (Fall 2019),103,4,62.85,"new, charred American oak",30,0,45,75,30,40,40,40,0,0,25,50,30,0
886,Maker's Mark Wood Finishing Series 2019 RC6,323,3,54.1,"new, charred American oak; finished with virgin American oak special staves profile (RC6)",15,0,60,0,15,53,45,30,7,5,25,0,55,0
887,Parker's Heritage Heavy Char Rye Whiskey 8 Year,92,4,52.5,"new, charred American oak (char #5)",15,0,60,20,55,65,65,60,10,5,60,15,20,15
888,Brenne Ten Single Malt (2008 Vintage),10,4,48.0,new French Limousin oak and ex-cognac casks,0,0,40,50,75,70,60,85,0,30,50,60,80,70
889,Glenmorangie Nectar d'Or Sauternes Cask Finish,324,3,46.0,"ex-bourbon, finished in ex-Sauternes wine casks",0,0,20,25,55,60,65,65,15,5,60,15,25,30
890,Speyburn 18 Year,16,4,46.0,American and Spanish oak barrels,10,0,80,40,80,75,70,75,0,0,60,65,70,65
891,King of Kentucky 15 Year Kentucky Straight Bourbon (2019 Release),30,5,65.5,"new, charred American oak",0,0,65,0,50,75,65,40,0,15,35,10,30,0
892,Bardstown Bourbon Co. Discovery Series #1,57,4,60.605,"new, charred American oak",15,0,60,40,65,75,70,65,15,10,60,25,20,20
893,Balvenie The Week of Peat 14 Year,178,4,48.3,,65,55,50,15,65,60,65,60,15,10,40,15,20,10
