,name,total_rating,cost_rank,abv,cask_type,smoky,peaty,spicy,herbal,oily,full_bodied,rich,sweet,briny,salty,vanilla,tart,fruity,floral
1456,GlenAllachie 8 Year Koval Rye Quarter Cask Wood Finish,12,3,48.0,American oak & Koval Rye quarter casks,0,0,50,10,30,35,35,10,0,0,20,25,30,10
1457,Woodford Reserve Wheat Whiskey,459,2,45.2,"new, charred American oak",30,0,70,50,30,60,70,50,0,20,80,40,30,10
1458,Johnnie Walker Blue Label Ghost and Rare Glenury Royal,19,5,43.8,,55,45,65,30,60,75,65,80,30,20,65,55,85,80
1459,Rock Island 10 Year,8,3,46.0,,25,15,20,10,25,35,30,35,10,5,25,15,20,5
1460,Baker's Single Barrel Bourbon 7 Year,814,3,53.5,"new, charred American oak",10,0,65,20,70,70,65,65,15,5,70,20,25,15
1461,Redwood Empire Lost Monarch Whiskey,313,2,45.0,,5,0,30,10,10,85,80,60,0,0,25,15,50,5
1462,1792 Aged Twelve Years,177,2,48.3,"new, charred American oak",40,0,65,30,80,80,90,80,0,0,75,30,65,40
1463,J.P. Wiser's Alumni Whisky Series Darryl Sittler,5,2,40.0,ex-bourbon and ex-Canadian,35,0,40,20,20,40,35,35,0,0,40,30,45,35
1464,Templeton Rye Barrel Strength (2019 Edition),29,3,57.9,"new, charred American oak",10,0,40,0,25,60,40,10,0,5,20,0,10,0
1465,GlenDronach Port Wood,64,4,46.0,ex-oloroso and ex-Pedro Ximenez casks; finished in port pipes,0,0,50,10,50,80,80,70,0,0,40,60,90,30
1466,Port Askaig 10 Year 10th Anniversary,32,4,55.85,ex-bourbon and ex-sherry butts,75,78,50,0,80,80,70,75,75,80,75,40,80,70
1467,KROBĀR Cask Strength Rye Whiskey,3,3,57.0,American oak,15,0,65,20,40,60,55,50,10,5,60,20,35,20
1468,Crown Royal Noble Collection French Oak Cask Finished,34,3,40.0,finished in French oak,10,0,75,20,15,40,40,50,0,0,45,35,45,0
1469,Sam Houston 12 Year Kentucky Straight Bourbon (Release No. 2 2019),30,4,49.0,"new, charred American oak",15,0,65,30,50,60,60,60,5,5,65,10,20,15
1470,Glenmorangie Quinta Ruban Port Cask Finish 14 Year,904,3,46.0,"ex-bourbon, finished in port casks",10,0,50,35,40,55,60,55,20,15,35,25,40,25
1471,Ragtime Rye Bottled in Bond Straight Rye Whiskey,17,2,50.0,"new, charred American oak",20,0,80,50,10,70,50,40,0,0,70,30,20,0
1472,Ledaig 12 Year Discovery (Gordon & Macphail),22,3,43.0,Bourbon and Sherry Casks,40,35,10,10,35,45,35,20,25,30,20,25,20,0
1473,Kentucky Owl Confiscated Bourbon,522,4,48.2,"new, charred American oak",10,0,50,20,60,65,70,65,10,10,55,20,25,20
1474,WhistlePig 6 Year PiggyBack Rye,1002,2,48.28,American oak,10,5,70,30,45,55,65,65,15,5,60,20,35,15
1475,Westland Celebrious,5,4,52.7,"Cooper's Reserve new American oak, finished in ex-tequila cask",15,5,40,25,60,60,65,55,20,15,55,20,30,25
1476,Tobermory 12 Year,157,3,46.3,"first-fill ex-bourbon, finished in virgin American oak",15,10,25,35,25,35,45,15,15,10,25,35,30,15
1477,Highland Park Twisted Tattoo 16 Year,107,4,46.7,aged in part in first-fill bourbon & ex-Spanish rioja wine casks,20,15,40,30,55,65,70,60,15,10,50,15,15,20
1478,Barrell Bourbon Batch 018,35,4,55.78,"new, charred American oak",15,0,45,25,50,60,65,60,15,10,60,10,15,10
1479,Dewar's Double Double 32 Year,17,5,46.0,finished in ex-Pedro Ximenez casks,10,5,40,30,55,65,70,60,10,5,60,15,35,10
1480,Dewar's Double Double 21 Year,69,4,46.0,finished in ex-oloroso sherry ,5,5,25,25,35,55,65,60,20,15,40,20,25,25
1481,Blood Oath Bourbon Pact No. 5,248,4,49.3,"new, charred American oak & rum barrels",10,0,40,20,45,55,55,65,10,5,55,15,20,15
1482,Ardbeg Drum,129,4,46.0,finished in rum casks,35,25,30,10,40,35,40,30,10,20,25,10,35,5
1483,The Singleton of Dufftown 18 Year,29,3,40.0,"Refill, bourbon and Pedro Ximénez casks",0,0,20,30,10,30,25,30,0,0,30,30,35,40
1484,Silkie Irish Whiskey,27,2,40.0,"ex-sherry, ex-bourbon, new oak, re-charred oak ",15,5,30,5,10,70,60,60,0,0,25,5,50,5
1485,The Whistler Oloroso Sherry Cask Finish,29,2,43.0,"ex-bourbon, finished in oloroso sherry",5,0,35,20,40,50,55,65,5,5,60,25,35,30
1486,Tomatin Five Virtues Series Water Edition,7,2,46.0,"Ex-Sherry, 2nd Fill Ex-Bourbon ",0,0,25,10,25,45,40,25,0,0,30,20,30,10
1487,High Coast Quercus III Petraea,1,4,50.8,"first-fill bourbon, finished in Hungarian virgin oak ",15,5,50,35,45,65,65,50,40,20,40,25,25,30
1488,Basil Hayden 10 Year Bourbon,401,3,40.0,"new, charred American oak",10,0,40,25,35,45,40,65,10,5,65,10,25,10
1489,Fukano Vault Reserve 2,15,4,40.4,,10,0,35,20,35,40,45,55,15,5,55,25,25,20
1490,MacNair's Lum Reek Peated 12 Year,15,3,46.0,"ex-bourbon, ex-oloroso sherry, virgin oak, ex-red wine",20,25,25,20,40,35,25,40,10,5,20,10,35,10
1491,Kikori Ten,2,5,41.2,ex-oloroso sherry butt,5,0,20,45,35,40,40,50,10,5,35,35,45,35
1492,The Glenrothes 18 Year,76,4,43.0,sherry seasoned oak,40,10,80,65,40,70,80,70,30,20,30,20,40,20
1493,Yellowstone Kentucky Straight Bourbon Finished in No. 3 Char  Wine Casks (2018 Limited Edition),46,4,50.5,"new, charred American oak; finished in char #3 wine casks",10,0,40,30,45,50,50,55,10,5,55,20,15,20
1494,GlenDronach Revival 15 Year (2018 Release),73,4,46.0,Spanish oak ex-oloroso & Pedro Ximénez sherry casks,20,0,15,0,25,45,40,35,0,0,10,25,45,0
1495,Old Pulteney 18 Year,71,4,46.0,second-fill American oak ex-bourbon; finished in first-fill Spanish oak ex-oloroso sherry butts,30,15,70,35,10,65,65,40,15,15,40,45,45,15
1496,Old Pulteney 15 Year,99,4,46.0,second-fill American oak ex-bourbon; finished in first-fill Spanish oak ex-oloroso sherry butts,35,10,70,20,30,55,55,45,30,30,45,30,30,10
1497,Old Pulteney Huddart,60,3,46.0,second-fill American oak ex-bourbon; finished ex-bourbon barrels which previously held heavily-peated whisky,35,40,40,20,25,60,60,30,25,25,30,20,45,0
1498,Ailsa Bay Sweet Smoke Release 1.2,109,3,48.9,"ex-Hudson Baby Bourbon Barrels (25-100 liters) then virgin, first-fill, and refill American oak",40,25,10,35,25,30,35,40,5,5,35,10,30,10
1499,"Mortlach 16 Year ""Distiller's Dram""",173,4,43.4,ex-sherry,10,5,35,25,50,70,65,55,20,10,55,15,25,15
1500,"Mortlach 12 Year ""The Wee Witchie""",245,3,43.4,ex-bourbon & ex-sherry,10,0,70,10,30,60,70,70,20,0,40,30,80,40
1501,Dillon's Three Oaks Rye,51,2,43.0,"first-fill bourbon, new American oak and new Ontario oak",35,0,55,35,15,45,40,45,0,0,45,20,40,20
1502,Lagavulin 9 Year (Game of Thrones-House Lannister),469,2,46.0,,30,30,20,10,50,45,35,35,20,10,20,5,15,10
1503,Sierra Norte Native Oaxacan Yellow Corn,15,2,45.0,French oak,10,0,40,35,40,45,50,55,15,10,30,35,30,25
1504,Rossville Union Straight Rye,94,2,47.0,"new, charred American oak",10,0,50,25,35,45,45,55,10,5,50,20,25,15
1505,Eden Mill Hip Flask Series No. 4,0,4,47.0,virgin French oak octave (50 liters),10,5,40,45,20,30,35,75,10,10,25,15,60,70
1506,Benromach 20th Anniversary Bottling,3,5,56.2,First-fill Ex-Bourbon & First-Fill Ex-Sherry,10,10,30,20,35,45,45,35,0,0,35,45,50,10
1507,"Barrell Whiskey Infinite Barrel Project (February 12, 2018)",74,3,59.65,various,20,5,65,15,65,75,65,55,10,10,65,15,15,10
1508,Naked Grouse Blended Malt,329,2,43.0,finished in first-fill oloroso sherry butts,10,10,35,10,25,45,45,55,10,10,20,35,80,10
1509,Bunnahabhain 2003 Pedro Ximenez Finish,32,4,54.8,2nd Fill Sherry Butts & PX Casks,0,0,10,10,60,70,75,90,0,20,10,35,50,5
1510,Whip Saw Rye,75,2,45.0,"new, charred American oak; finished in French oak wine barrels",5,0,50,35,45,60,65,65,5,0,40,15,45,25
1511,Glen Grant 15 Year Batch Strength 1st Edition,65,3,50.0,first-fill bourbon,0,0,25,20,35,40,35,45,0,0,35,20,30,10
1512,Allt a Bhainne 9 Year (Chapter 7),5,3,60.7,finished in first-fill bourbon hogshead,10,0,60,25,40,45,60,45,40,20,30,20,10,10
1513,Ichiro's Malt Wine Wood Reserve,23,5,46.0,finished in French red wine casks,15,10,70,10,30,55,60,75,20,15,25,15,65,30
1514,Balblair 1991 3rd Release,29,5,46.0,American oak & first-fill Spanish oak butts,0,0,25,10,35,40,55,20,0,0,25,30,45,10
1515,Nikka Yoichi Peaty & Salty,16,5,55.0,,80,40,55,20,40,60,70,80,15,30,35,15,40,60
1516,Barrell Bourbon New Year 2018,24,4,55.6,"new, charred American oak  ",10,0,70,25,50,55,65,45,20,10,50,30,35,20
1517,The Dublin Liberties Copper Alley 10 Year,26,3,46.0,"ex-bourbon, finished in oloroso sherry casks",5,0,50,25,55,60,65,60,15,5,60,20,35,25
1518,J.P. Wiser's 15 Year,53,2,40.0,"new white oak, used American bourbon and used Canadian whisky",40,0,55,25,40,40,40,50,0,0,45,35,50,25
1519,Jim Beam Distiller's Cut,246,1,50.0,"new, charred American oak   ",15,0,60,20,55,70,60,45,10,0,45,20,20,15
1520,TINCUP 10 Year American Whiskey,141,3,42.0,new American oak (char #3),30,0,50,30,30,70,70,60,0,10,80,30,30,0
1521,Nikka Blended,64,2,40.0,,10,15,55,20,40,45,30,60,15,10,80,25,70,30
1522,Kilchoman Vintage 2009,22,4,46.0,ex-bourbon and oloroso sherry butts,20,40,40,25,25,45,40,20,50,30,20,20,20,10
1523,Woodford Reserve Master's Collection Cherry Wood Smoked Barley,162,4,45.2,"new, charred American oak",35,0,20,0,10,50,45,25,0,0,30,15,40,15
1524,Ardbeg An Oa,1159,3,46.6,"Pedro Ximenez, virgin oak, ex-bourbon, French oak vat",60,55,50,50,15,65,65,55,40,30,10,10,15,0
1525,Glenmorangie Astar 2017 Edition,101,4,52.5,first-fill bourbon barrels   ,0,0,25,0,15,40,40,60,0,0,15,20,85,10
1526,Springbank Green 13 Year,22,4,46.0,ex-sherry,20,15,35,30,45,40,35,40,15,20,5,5,35,10
1527,J.P. Wiser's 10 Year Triple Barrel,20,1,40.0,"Canadian, ex-bourbon and new white oak",30,0,45,30,20,30,35,45,0,0,40,20,45,25
1528,Method and Madness Single Grain Finished in Virgin Spanish Oak Casks,89,2,46.0,"first-fill ex-bourbon, finished in virgin Spanish oak",0,0,70,20,30,30,40,70,0,0,65,50,60,60
1529,Arran Smuggler Series The Illicit Stills Vol. 1,4,5,56.4,American oak barrels and port pipes,30,20,40,10,15,50,55,40,15,25,30,25,40,0
1530,Dry Fly Straight Washington Bourbon 101 4 Year,54,3,50.5,"new, charred American oak",10,0,60,20,30,70,80,60,0,0,80,20,0,0
1531,Sagamore Spirit Cask Strength Straight Rye,159,3,55.5,"new, charred American oak",15,0,70,25,65,70,65,65,10,5,65,20,35,15
1532,Armorik Armagnac Cask Finish Single Malt,1,4,46.0,refill bourbon and ex-Dartigalongue Armagnac,10,10,0,15,0,15,10,50,40,15,0,0,20,80
1533,Rúa American Single Malt,126,3,40.0,charred American white oak barrels,10,0,45,0,40,65,50,45,0,10,45,10,25,15
1534,The Singleton of Glendullan 18 Year,75,3,40.0,ex-bourbon American oak,15,0,25,20,35,45,40,45,10,0,40,15,15,10
1535,Yamazaki Limited Edition 2016,9,5,43.0,"American oak, ex-bourbon, European oak, ex-port, ex-sherry",10,15,25,20,30,65,70,80,31,18,50,29,86,67
1536,A Drop of the Irish Sherry Cask Finish (Blackadder),12,4,58.9,finished in ex-sherry,40,0,50,35,80,85,90,85,15,30,45,10,65,20
1537,Syndicate 58/6 Blended Scotch,20,4,43.0,finished in oloroso sherry butts,15,0,20,30,85,80,90,90,0,10,55,0,75,60
1538,Camp Robber Whiskey,1,2,40.0,,10,0,20,20,20,50,40,80,0,0,20,50,70,0
1539,Paul John Bold,80,3,46.0,Primarily Ex-Bourbon,30,25,30,10,40,40,35,20,5,0,25,20,40,10
1540,Chivas Regal Ultis,42,5,40.0,,0,0,20,10,30,50,50,40,0,0,30,20,60,50
1541,Dad's Hat Pennsylvania Straight Rye Whiskey (Discontinued),33,3,47.5,"new, charred American oak",30,0,60,70,40,70,60,40,0,0,30,20,20,10
1542,Forty Creek Founder's Reserve,11,3,45.0,American White Oak,30,0,40,20,40,45,50,40,10,0,35,25,45,20
1543,Hirsch Small Batch Reserve Straight Bourbon,84,2,46.0,"new, charred American oak",30,0,25,20,25,55,55,60,0,10,40,40,30,0
1544,Last Mountain Private Reserve,3,2,40.0,ex-bourbon and new oak,50,0,45,20,20,50,55,55,0,0,40,10,50,25
1545,Loch Lomond Single Grain,63,2,46.0,ex-bourbon ,15,0,10,0,5,30,40,70,0,0,40,10,70,5
1546,Sonoma County Distilling Black Truffle Rye,4,5,50.0,,15,0,20,15,30,40,40,40,20,10,30,15,30,10
1547,Rebel Yell 10 Year Single Barrel Bourbon,436,2,50.0,"new, charred American oak",20,0,70,25,40,50,55,50,20,10,40,20,35,20
1548,Redbreast Lustau Edition,660,3,46.0,"ex-bourbon, ex-oloroso sherry, and finished in first-fill Lustau oloroso sherry butts",40,0,60,40,40,50,55,50,0,0,30,30,55,25
1549,Coopers' Craft Original 82.2 Proof Kentucky Straight Bourbon,340,2,41.1,"new, charred American oak ",10,0,20,5,10,60,60,75,1,0,40,15,60,0
1550,Redemption Barrel Proof 9 Year Straight High-Rye Bourbon,18,4,54.6,"new, charred American oak ",10,0,40,25,10,80,80,70,0,5,20,10,30,0
1551,Detroit City Homegrown Rye,34,3,47.0,charred American oak,5,0,65,5,5,30,20,35,0,0,30,5,20,10
1552,Gibson's Finest Bold 8 Year,27,2,46.0,Mix of Virgin Oak and Used Bourbon ,30,0,55,20,10,50,60,60,20,5,60,20,55,45
1553,Batch 206 Old Log Cabin Single Barrel Bourbon,6,3,44.5,"new, charred American oak (#3 char)",15,0,30,20,30,40,35,50,20,5,35,5,20,5
1554,Feisty Spirits 100% Rye,9,2,44.0,"new, charred American oak",15,5,45,25,0,40,30,15,0,0,10,0,15,10
1555,Laws Four Grain Straight Bourbon Bonded,83,4,50.0,"new, charred American oak",15,0,45,10,5,60,40,25,0,0,40,0,10,15
1556,Armorik Double Maturation Single Malt,55,3,46.0,New Brittany Oak and ex-sherry,5,0,15,10,5,60,60,70,0,0,30,25,60,20
1557,Ezra Brooks Kentucky Straight Bourbon 90 Proof,542,1,45.0,"new, charred American oak",10,0,40,15,0,60,75,25,0,30,50,10,15,10
1558,Shelter Point Artisanal Single Malt Whisky,39,3,45.0,ex-bourbon,30,0,45,20,10,46,45,45,15,20,50,20,45,45
1559,Canadian Club 100% Rye,117,1,40.0,"new white American oak, ex-bourbon, ex-Canadian whisky barrels",30,0,60,10,0,30,50,50,0,0,55,25,55,55
1560,Ardbeg Dark Cove,217,4,46.5,dark sherry and ex-bourbon,60,65,45,35,30,30,30,60,35,35,20,40,85,10
1561,Suntory Toki,2930,2,43.0,American oak and Spanish Oak,5,0,10,5,10,60,50,60,0,0,40,5,50,15
1562,Amrut Bengal Tiger Single Cask Strength,9,4,56.5,ex-bourbon and ex-Pedro Ximenez sherry,25,15,40,10,10,50,65,55,10,30,40,35,65,20
1563,Compass Box Enlightenment,30,4,46.0,ex-bourbon & rejuvenated American oak,15,5,30,0,20,60,60,50,0,0,50,0,40,15
1564,Hochstadter's Slow & Low Rock & Rye (84 Proof),337,1,42.0,,30,0,55,70,10,60,60,70,0,10,45,45,50,45
1565,Hochstadter's Vatted Straight Rye Whiskey,58,2,50.0,"new, charred American oak",5,0,50,10,5,75,75,70,0,0,30,20,40,10
1566,Joseph Magnus Triple Cask Finished Bourbon,535,4,50.0,"new, charred american oak, ex-oloroso sherry, ex-pedro ximenez sherry, and ex-cognac ",30,0,65,20,35,45,65,50,0,0,15,0,30,0
1567,Boondocks 11 Year American Whiskey,49,2,47.5,used cask,20,0,10,5,25,30,25,90,0,0,85,0,40,30
1568,Bulleit Bourbon Barrel Strength,783,2,59.7,"new, charred American oak",15,0,100,40,65,75,80,60,0,10,35,10,65,30
1569,Rough Rider Happy Warrior Cask Strength Straight Bourbon,34,2,57.0,"new, charred American oak, ex-chardonnay, ex-merlot, and brandy-washed wine",5,0,40,10,10,80,80,80,0,0,30,25,70,15
1570,Bowmore 100 Degrees,6,4,57.1,,50,70,0,0,40,40,45,60,0,15,65,20,35,25
1571,Sonoma County Distilling Co. Cherrywood Rye Whiskey (Batch #1),25,2,48.0,"new, charred American oak",20,0,30,20,10,70,70,50,0,0,40,10,30,10
1572,Kavalan Podium Single Malt,77,3,46.0,new American oak and refill whisky barrels,0,0,50,20,40,60,60,50,0,20,40,30,30,20
1573,Liberty Call San Diego County 4-Grain Whiskey,2,2,45.0,"blend of 5, 15, and 30-gallon barrels, with some aged in honeycombed cherry and yellow birchwood barrels",45,0,70,70,20,60,60,30,40,30,10,50,30,60
1574,Whiskey Del Bac Dorado Mesquite Smoked Single Malt,124,2,45.0,American White Oak,70,10,30,40,30,50,30,30,0,0,25,5,20,5
1575,Hillrock Estate PX Cask Finished Double Cask Rye,9,4,45.0,"new, charred American oak, seasoned oak, and finished in former PX-sherry casks",10,0,50,30,20,50,70,50,0,0,40,40,50,20
1576,Silver Lightning Moonshine,1,2,49.5,unaged,0,0,60,15,20,45,45,45,0,20,15,15,10,10
1577,Amrut Portonova Single Malt,48,4,62.1,"ex-bourbon, ex-port",0,0,70,40,20,50,70,40,0,0,20,40,80,40
1578,Balcones Texas Blue Corn Bourbon,123,4,64.5,"new, charred American oak",30,0,65,20,45,60,60,30,10,10,40,15,15,10
1579,Ballantine's 17 Year,174,3,43.0,,50,40,40,55,10,40,40,45,10,20,45,25,40,50
1580,Penderyn Legend,143,3,41.0,Ex-Bourbon and Ex-Madeira Wine,20,0,35,50,35,30,30,40,0,0,30,25,50,15
1581,Loch Lomond Inchmurrin 18 Year,40,4,46.0,,0,0,30,20,20,35,40,30,0,0,30,20,45,25
1582,Stalk & Barrel 1+11 Canadian Whisky,6,2,40.0,ex-bourbon,25,0,55,25,5,40,40,60,5,5,55,50,55,65
1583,Tullamore D.E.W. Cider Cask Limited Edition,131,3,40.0,"ex-bourbon, ex-sherry, ex-cider",0,0,40,10,20,60,40,60,0,0,50,70,80,60
1584,Powers Three Swallow Single Pot Still,172,2,40.0,"ex-bourbon, ex-oloroso sherry",20,0,60,10,30,60,70,70,0,20,70,50,80,60
1585,Glenmorangie Milsean,127,4,46.0,ex-bourbon oak and re-toasted ex-Portugese red wine barrels,0,0,40,10,0,60,70,60,0,0,50,20,80,80
1586,Governor's Reserve Taos Lightning Straight Rye Whiskey,18,2,45.0,"new, charred American oak",10,0,30,40,10,60,60,70,0,0,20,20,40,50
1587,Canadian Club Chairman's Select 100% Rye,132,1,40.0,"new white American oak, ex-bourbon, ex-Canadian whisky barrels",30,0,60,10,0,30,50,50,0,0,55,25,55,55
