id,name,category,location,price_tier,abv,cask_type,smoky,peaty,spicy,herbal,oily,body,rich,sweet,salty,vanilla,tart,fruity,floral
37,Yamazaki 18 Year,Single Malt,"Honshu, Japan",5,43,"80% Sherry, 20% Mizunara and American",40,20,60,30,30,80,80,80,20,50,60,80,60
38,Lark Single Malt Distiller's Selection,Peated Single Malt,"Tasmania, Australia",5,46,ex-Aussie-style port oak Quarter Casks,40,45,70,60,35,60,60,40,20,20,40,70,50
39,Bushmills 21 Year Single Malt,Single Malt,Northern Ireland,4,40,"Ex-bourbon, Oloroso Sherry casks, & ex-Madeira wine",40,10,60,10,20,70,80,80,20,60,30,90,47
40,Compass Box Hedonism,Blended Grain,Scotland,4,43,ex-bourbon,10,10,60,20,30,70,90,80,20,60,20,80,50
41,The Last Drop Signature Blend,Blended American Whiskey,"Kentucky, USA",5,60.7,,20,0,60,40,20,90,90,70,0,80,30,50,10
42,Heaven Hill 17 Year Heritage Collection Barrel Proof Bourbon (Spring 2022),Bourbon,"Kentucky, USA",5,59.1,"new, charred American oak",25,0,60,0,15,55,55,60,0,35,25,35,0
43,Jack Daniel's Single Barrel Coy Hill High Proof (2021 Special Release),Tennessee,"Tennessee, USA",3,74.15,"new, charred American oak",35,0,85,50,15,45,45,55,0,45,30,60,0
44,Glenlivet 1940 80 Year Generations (Gordon & MacPhail),Peated Single Malt,"Speyside, Scotland",5,44.9,first-fill sherry butt,20,30,40,30,60,80,60,30,20,20,30,80,40
45,Glenfiddich Grand Couronne 26 Year,Single Malt,"Speyside , Scotland",5,43.8,"American oak, European oak, ex-Cognac ",0,0,25,0,15,80,85,80,5,35,25,40,10
46,Laphroaig 33 Year The Ian Hunter Story Book 3,Peated Single Malt,"Islay, Scotland",5,49.9,refill ex-bourbon barrels,30,20,30,50,20,40,40,40,10,30,25,60,5
47,Michter's US*1 Barrel Strength Kentucky Straight Rye (2021 Release),Rye,"Kentucky, USA",4,55.15,"new, charred American oak",5,0,65,10,10,60,60,65,0,25,10,30,0
48,Laphroaig 25 Year Cask Strength (2020 Edition),Peated Single Malt,"Islay, Scotland",5,49.8,second-fill European oak oloroso sherry and ex-bourbon,70,80,70,20,40,70,70,60,50,80,10,40,30
49,WhistlePig The Boss Hog VII: Magellan's Atlantic,Rye,"(bottled in) Vermont, Canada",5,52.6,"new, charred American oak; finished in Spanish oak & South American teakwood",25,0,80,45,15,55,55,50,0,25,25,25,0
50,George T. Stagg Bourbon (Fall 2020),Bourbon,"Kentucky, USA",4,65.2,"new, charred American oak",20,0,30,10,40,90,90,80,0,90,20,10,0
51,Redbreast 27 Year,Single Pot Still,Ireland,5,53.5,"ruby port, ex-bourbon, and ex-oloroso sherry",10,0,55,25,45,60,75,70,10,50,20,50,35
52,Mister Sam Blended Whiskey (2019 Release),Other Whiskey,Multiple Countries,5,66.9,,60,0,55,20,35,65,65,45,0,45,20,55,25
53,Bunnahabhain 2005 Palo Cortado Cask Finish,Peated Single Malt,"Islay, Scotland",5,54.9,finished in Palo Cortado sherry casks,30,0,60,10,40,100,90,70,20,20,10,60,20
54,Canadian Club Chronicles 41 Year,Canadian,"Ontario, Canada",5,45,Used American White Oak,40,0,40,10,10,60,65,60,0,50,20,55,35
55,Red Spot 15 Year Single Pot Still,Single Pot Still,Ireland,4,46,"American oak ex-bourbon, ex-sherry butts, ex-Marsala wine casks",10,0,40,15,15,45,45,60,0,25,50,80,15
56,William Larue Weller Bourbon (Fall 2018),Bourbon,"Kentucky, USA",4,62.85,"new, charred American oak",35,0,55,20,10,40,40,45,0,25,30,25,0
57,Old Forester Birthday Bourbon 2018,Bourbon,"Kentucky, USA",4,50.5,"new, charred American oak",40,0,40,15,30,45,45,60,15,35,45,65,0
58,Catoctin Creek Rabble Rouser Bottled in Bond Rye,Rye,"Virginia, USA",4,50,"new, charred American oak",0,0,70,50,30,80,90,70,20,80,20,10,0
59,Bruichladdich 1984/32 Bourbon: All In,Single Malt,"Islay, Scotland",5,43.7,ex-bourbon barrels & hogsheads,0,0,40,30,50,90,80,70,10,80,20,70,20
60,Lock Stock & Barrel Straight Rye Whiskey 18 Year,Rye,Canada,5,54.5,"new, charred American oak   ",25,0,45,15,50,75,70,50,5,55,20,20,10
61,Canadian Club 40 Year,Canadian,"Ontario, Canada",5,45,used American white oak,50,0,50,20,40,60,65,50,0,40,20,65,30
62,J.P. Wiser's 35 Year,Canadian,"Ontario, Canada",5,50,ex-bourbon and virgin oak,50,0,55,0,40,60,65,50,0,45,10,55,50
63,Yamazaki 18 Year Mizunara Cask (2017 Edition),Single Malt,Japan,5,48,Japanese Mizunara oak,15,0,70,15,15,65,60,45,0,15,35,75,30
64,Glenmorangie Grand Vintage 1990,Single Malt,"Highlands, Scotland",5,43,ex-bourbon and ex-sherry,10,0,30,50,80,75,80,75,10,50,60,75,60
65,Bowmore 50 Year 1961,Peated Single Malt,"Islay, Scotland",5,40.7,ex-bourbon hogshead,40,10,20,0,20,70,40,50,40,30,40,70,70
66,J.P. Wiser's Union 52,Blended Malt,"Ontario, Multiple Countries",3,45,,50,35,40,20,0,60,65,45,0,40,15,50,15
67,Four Roses Limited Edition Small Batch Bourbon (2016),Bourbon,"Kentucky, USA",4,55.6,"new, charred American oak",20,0,40,10,30,80,80,80,0,70,40,50,10
68,William Larue Weller Bourbon (Fall 2016),Bourbon,"Kentucky, USA",4,67.7,"new, charred American oak",40,0,20,10,20,80,70,70,0,70,20,20,10
69,Yamazaki 25 Year (Discontinued),Single Malt,Japan,5,43,Sherry casks,20,20,70,15,50,75,65,70,20,30,15,85,25
70,Octomore 07.3/169 Islay Barley,Peated Single Malt,"Islay, Scotland",5,63,ex-bourbon & Spanish Ribera del Duero wine barrels,70,100,20,40,20,80,60,50,60,30,20,30,20
71,Macallan Reflexion,Single Malt,"Highlands, Scotland",5,43,First-fill Spanish and American oak sherry hogshead,30,0,45,0,10,80,80,65,0,50,20,65,20
72,Four Roses Limited Edition Small Batch Bourbon (2015),Bourbon,"Kentucky, USA",5,54.3,"new, charred American oak",10,0,50,0,40,80,80,70,0,70,10,40,20
73,Jack Daniel's Sinatra Century,Tennessee,"Tennessee, USA",5,50,"new, charred American oak",80,0,50,0,40,70,70,50,0,60,0,20,10
74,Eagle Rare 17 Year Bourbon (Fall 2015),Bourbon,"Kentucky, USA",3,45,"new, charred American oak",20,0,50,10,10,80,60,70,0,70,10,30,10
75,The Glenrothes Extraordinary Single Cask 1969 #11485,Single Malt,"Speyside, Scotland",5,42.9,ex-sherry ,0,0,10,0,10,70,75,80,0,40,10,60,20
76,Balvenie Tun 1509 Batch 2,Single Malt,"Speyside, Scotland",5,50.3,European ex-sherry and American oak,0,0,40,20,20,60,70,60,0,50,0,40,30
77,Overeem Bourbon Cask Matured Single Malt Cask Strength,Single Malt,"Tasmania, Australia",5,60,ex-bourbon,30,0,40,20,40,30,20,50,20,70,10,50,40
78,Nikka Yoichi 20 Year,Single Malt,Japan,5,52,,80,90,30,20,40,70,75,65,37,30,20,45,35
79,Laphroaig 15 Year 200th Anniversary,Peated Single Malt,"Islay , Scotland",3,43,ex-bourbon,60,70,15,25,25,80,80,70,20,40,15,50,20
80,Dalmore Constellation 1979 Cask 1093 33 Year,Single Malt,"Highlands, Scotland",5,58.9,European ex-sherry butt,30,0,60,10,0,70,90,70,0,40,20,70,20
81,Balblair 1990 2nd Release,Single Malt,"Highlands, Scotland",4,46,ex-bourbon/ex-sherry,15,0,20,0,15,80,85,80,5,30,25,40,0
82,Woodford Reserve Master's Collection Four Wood Bourbon,Bourbon,"Kentucky, USA",4,47.2,"new, charred American oak, maplewood, ex-sherry, ex-port",60,0,70,40,0,90,80,80,0,80,0,80,40
83,Benromach Vintage 1976,Single Malt,"Speyside, Scotland",5,46,1st fill and refill ex-sherry,20,0,50,10,50,70,70,75,30,50,50,90,50
84,Laphroaig 30 Year,Peated Single Malt,"Islay, Scotland",5,53.5,first-fill ex-bourbon & refill casks,70,60,30,10,50,90,50,40,10,60,20,50,10
85,Eagle Rare 17 Year Bourbon (Fall 2014),Bourbon,"Kentucky, USA",3,45,new charred oak,10,0,25,0,10,75,70,65,5,15,0,15,0
86,Yellow Spot 12 Year Single Pot Still,Single Pot Still,Ireland,4,46,"ex bourbon, ex sherry, ex Malaga wine",20,0,50,20,30,70,70,80,0,40,30,90,40
87,Booker's 25th Anniversary Bourbon,Bourbon,"Kentucky, USA",4,65.4,Charred American White Oak,75,0,60,20,70,60,85,45,10,40,10,40,20
88,Redbreast 21 Year,Single Pot Still,Ireland,5,46,ex-bourbon and 1st fill sherry casks,20,0,60,30,40,70,80,60,10,50,50,70,30
89,William Larue Weller Bourbon (Fall 2013),Bourbon,"Kentucky, USA",4,68.1,New American Oak,30,0,40,50,60,80,70,60,0,30,20,70,50
90,Highland Park 40 Year,Peated Single Malt,"Islands, Scotland",5,48.3,refill ex-sherry casks,40,40,60,30,20,70,70,60,40,40,20,50,40
91,Nikka Yoichi 15 Year,Peated Single Malt,Japan,4,46,"ex-bourbon, ex-Oloroso sherry",50,50,60,30,30,80,90,70,20,50,30,70,30
92,Talisker 10 Year,Peated Single Malt,"Islands, Scotland",3,45.8,ex-bourbon,70,70,50,60,50,60,50,40,40,20,30,30,20
93,Glenglassaugh Evolution,Single Malt,"Highlands, Scotland",3,50,Ex-Tennessee,25,15,5,10,0,65,70,60,10,25,5,25,10
94,Laphroaig 10 Year,Peated Single Malt,"Islay, Scotland",3,43,Ex-Bourbon,70,90,50,20,60,60,40,60,30,70,40,60,30
95,Lagavulin Distillers Edition,Peated Single Malt,"Islay, Scotland",4,43,finished in a Pedro Ximenez sherry cask,70,70,60,40,20,80,90,70,50,60,30,80,30
96,Bowmore 18 Year,Peated Single Malt,"Islay, Scotland",4,43,ex-Bourbon barrels & ex-Sherry casks,50,30,40,10,20,60,70,70,50,50,30,70,50
97,Evan Williams Single Barrel,Bourbon,"Kentucky, USA",2,43.3,"new, charred American oak",20,10,30,20,40,60,50,50,30,40,20,40,20
98,Parker's Heritage Cognac Barrel Finish 10 Year Bourbon,Bourbon,"Kentucky, USA",3,50,"new, charred american oak / french Limousin ex-cognac",10,0,40,20,90,90,90,70,0,70,20,30,80
99,GlenDronach Grandeur (Batch 11),Single Malt,"Highlands, Scotland",5,48.9,ex-oloroso and PX sherry casks,10,0,45,20,10,50,65,55,0,10,35,70,0
100,Michter's 10 Year Single Barrel Kentucky Straight Rye (2022 Release),Rye,"Kentucky, USA",5,46.4,"new, charred American oak",5,0,20,30,15,55,55,60,0,30,10,40,5
101,Bushmills 29 Year The Rare Casks Pedro Ximenez Cask Single Malt,Single Malt,Northern Ireland,5,53,ex-bourbon and first-fill Pedro Ximenez sherry cask,15,0,55,10,30,70,70,40,0,15,30,85,0
102,Old Fitzgerald Bottled in Bond 17 Year (Spring 2022),Bourbon,"Kentucky, USA",5,50,"new, charred American oak",5,0,40,0,15,90,80,60,5,30,10,20,0
103,Cascade Moon 13 Year Rye,Rye,"Tennessee, USA",5,50,"new, charred American oak",15,0,70,65,5,60,60,60,0,15,25,60,10
104,Nikka Yoichi Non-Peated (2021 Release),Single Malt,Japan,5,47,,10,0,65,0,30,55,55,60,0,15,35,70,60
105,Balvenie Tun 1509 Batch 8,Single Malt,"Speyside , Scotland",5,52.2,,15,0,55,20,20,55,55,55,0,40,35,55,0
106,Michter's 10 Year Single Barrel Kentucky Straight Bourbon (2021 Release),Bourbon,"Kentucky, USA",4,47.2,"new, charred American oak",20,0,30,10,20,85,65,70,5,20,25,40,0
107,Bowmore Timeless Series 27 Year,Peated Single Malt,"Islay, Scotland",5,52.7,"sherry & ex-bourbon casks, then first-fill oloroso sherry butts",70,30,40,10,40,90,80,40,50,30,10,60,20
108,Maker's Mark Wood Finishing Series 2021 FAE-01,Bourbon,"Kentucky, USA",3,55.15,"new, charred American oak; finished with proprietary wooden staves",5,0,20,25,30,60,60,70,0,40,20,60,0
109,Mars Komagatake Single Malt Limited Edition 2020,Single Malt,"Nagano, Japan",5,50,ex-bourbon and ex-sherry,10,0,30,10,20,70,60,60,15,30,20,60,5
110,Heaven Hill 85th Anniversary 13 Year Single Barrel,Bourbon,"Kentucky, USA",5,53.5,"new, charred American oak",10,0,30,0,10,85,80,80,0,30,20,60,0
111,Rosebank 30 Year (Release 1),Single Malt,"Lowlands, Scotland",5,48.6,refill sherry butts & refill bourbon hogsheads ,5,0,15,15,45,50,60,35,0,25,35,45,30
112,Elijah Craig Barrel Proof Bourbon Batch B520,Bourbon,"Kentucky, USA",3,63.6,"new, charred American oak",30,0,40,20,10,60,60,70,0,45,30,55,0
113,Blue Spot 7 Year Cask Strength Single Pot Still,Single Pot Still,Ireland,4,59.2,"ex-bourbon, ex-sherry, ex-Madeira",10,0,25,0,20,80,75,70,10,20,15,45,0
114,J.P. Wiser's 23 Year Cask Strength Blend,Canadian,"Ontario, Canada",4,64.3,,50,0,65,20,15,55,55,40,0,40,20,45,15
115,GlenDronach Grandeur (Batch 10),Single Malt,"Highlands, Scotland",5,50.1,ex-Pedro Ximenez and ex-oloroso sherry puncheons and butts,10,0,25,20,55,70,80,70,10,50,20,35,30
116,Gooderham & Worts Eleven Souls,Canadian,"Ontario, Canada",4,49,"new white oak, ex bourbon casks and Canadian whisky casks",40,0,45,25,20,55,50,45,0,45,25,50,40
117,Russell's Reserve 2002,Bourbon,"Kentucky, USA",5,57.3,"new, charred American oak",15,0,70,30,40,60,70,55,10,50,15,35,20
118,Wild Turkey Master's Keep Revival,Bourbon,"Kentucky, USA",4,50.5,"new, charred American oak; finished in oloroso sherry",30,0,90,40,20,90,70,70,0,80,0,60,0
119,Bruichladdich 1986/30 Sherry: The Magnificent Seven,Single Malt,"Islay, Scotland",5,44.6,oloroso & Pedro Ximenez sherry butts,10,0,30,50,50,90,90,75,55,60,85,85,30
120,Chichibu Whisky Matsuri 2017,Single Malt,Japan,5,59.2,fino hogshead,15,20,70,40,65,75,60,77,25,20,10,75,41
121,Lot No. 40 12 Year Cask Strength,Canadian,"Ontario, Canada",3,55,new oak,40,0,70,15,30,50,50,40,0,40,10,45,45
122,Chichibu Japan Warrior Series Bottle One,Single Malt,Japan,5,61.9,"sherry puncheon, white wine cask",10,15,20,35,45,40,30,15,18,17,23,70,60
123,Lagavulin 12 Year (2017 Special Release),Peated Single Malt,"Islay, Scotland",4,56.5,refill American oak hogheads,60,30,50,10,70,80,60,50,20,60,0,40,6
124,Kilbeggan 21 Year,Blended,Ireland,4,40,"ex-bourbon, ex-sherry, ex-port, ex-Madeira",15,0,25,20,15,50,50,55,0,45,30,50,0
125,"Colonel E.H. Taylor, Jr. Four Grain Bottled in Bond",Bourbon,"Kentucky, USA",3,50,"new, charred American oak",5,0,40,10,40,70,70,65,0,50,10,30,25
126,Glenkinchie 1991 24 Year (2016 Special Release),Single Malt,"Lowlands, Scotland",5,57.2,refill European Oak,20,0,50,20,10,80,60,70,0,70,30,50,20
127,Old Potrero Hotaling's Single Malt Rye 16 Year,Single Malt,"California, USA",5,50,"used, charred American oak",20,0,65,40,10,55,50,45,0,35,35,65,20
128,Alberta Premium 30 Year,Canadian,"Alberta, Canada",2,40,Charred White Oak,40,0,50,20,0,50,60,55,0,50,25,60,40
129,Lagavulin 25 Year,Peated Single Malt,"Islay, Scotland",5,50.9,Ex-Sherry,80,60,50,30,30,70,30,40,50,30,20,40,10
130,Glenlivet Single Cask: Pullman Water Level Route,Single Malt,"Speyside, Scotland",5,54.9,refill American oak hogshead,20,0,20,0,30,80,80,70,0,40,0,50,10
131,Lagavulin Jazz Festival 2015,Peated Single Malt,"Islay, Scotland",5,55.4,refill American oak & European oak,50,40,40,10,10,70,60,50,50,10,30,50,20
132,J.P. Wiser's Last Barrels,Canadian,"Ontario, Canada",3,45,oak barrels,40,0,50,10,0,55,60,50,0,50,20,60,40
133,Knob Creek Limited Edition 2001,Bourbon,"Kentucky, USA",4,50,"new, charred American oak",20,0,70,10,20,70,60,60,0,80,20,10,0
134,Forty Creek John's Private Cask No. 1,Canadian,"Ontario, Canada",3,40,toasted oak,40,0,80,30,10,55,60,55,0,50,40,60,30
135,Glenfiddich Rare Collection Vintage 1978 Cask #28121,Single Malt,"Speyside, Scotland",5,54.1,,20,0,40,10,30,80,70,40,0,50,10,20,30
136,Caol Ila 30 Year (2014 Special Release),Peated Single Malt,"Islay, Scotland",5,55.1,"refill American casks, refill European casks",50,50,25,35,15,40,45,50,25,15,10,15,0
137,Benromach Organic,Single Malt,"Speyside, Scotland",3,43,virgin American oak,0,0,30,10,70,90,80,70,10,70,0,10,10
138,Bruichladdich Black Art 1990 04.1 Edition 23 Year,Single Malt,"Islay, Scotland",5,49.2,variety of American and European oak some with varied wine finishes,20,0,60,10,40,80,60,80,20,30,50,100,30
139,Belle Meade Cask Strength Single Barrel Bourbon 9 Year,Bourbon,"Indiana (bottled in Tennessee), USA",3,61.2,"new, charred American oak",10,0,20,80,40,30,20,60,30,60,0,10,60
140,Wild Turkey Master's Keep 17 Year,Bourbon,"Kentucky, USA",4,43.4,"new, charred American oak",40,0,80,20,30,70,40,70,20,80,0,60,30
141,Russell's Reserve Single Barrel Bourbon,Bourbon,"Kentucky, USA",2,55,"new, charred American oak",0,0,90,50,70,80,70,80,0,80,30,70,60
142,Macallan No. 6 in Lalique,Single Malt,"Highlands, Scotland",5,43,first-fill sherry,3,0,60,20,15,45,45,50,0,45,35,75,70
143,Highland Park Freya,Peated Single Malt,"Islands, Scotland",5,51.2,first-fill bourbon,30,30,60,20,30,50,50,65,30,60,20,90,70
144,"Colonel E.H. Taylor, Jr. Cured Oak Bottled in Bond Bourbon",Bourbon,"Kentucky, USA",3,50,"new, charred American oak",10,0,35,0,15,80,80,75,0,30,15,40,0
145,Deanston 18 Year Cognac Cask,Single Malt,"Highlands, Scotland",5,46.3,ex-bourbon/ex-cognac,15,0,30,0,15,80,80,80,5,25,10,40,5
146,Edradour Straight From The Cask Port Wood Finish 12 Year,Single Malt,"Highlands, Scotland",4,56.1,"ex-bourbon, ex-port",40,0,70,40,80,100,100,70,50,80,60,80,90
147,Arran The Devil's Punch Bowl Chapter III The Fiendish Finale,Single Malt,"Islands, Scotland",4,53,"French oak, ex-sherry, ex-bourbon",20,10,90,40,70,70,80,70,30,50,60,70,50
148,Laphroaig 25 Year Cask Strength (2013 Edition),Peated Single Malt,"Islay, Scotland",5,45.1,ex-bourbon/ex-sherry,40,70,20,30,15,85,85,80,15,35,0,30,5
149,Glengoyne 15 Year,Single Malt,"Highlands, Scotland",3,43,ex-bourbon/ex-sherry,0,0,10,0,10,80,80,70,0,25,10,15,5
150,Laphroaig Cairdeas 2014 Amontillado Cask Edition,Peated Single Malt,"Islay, Scotland",3,51.4,ex-bourbon & first-fill Amontillado sherry hogshead,40,40,15,20,20,80,80,60,20,15,0,5,10
151,Jim Beam Signature Craft 12 Year Bourbon,Bourbon,"Kentucky, USA",2,43,"new, charred American oak",50,0,80,30,20,70,70,70,0,80,50,30,10
152,Eagle Rare 17 Year Bourbon (Fall 2013),Bourbon,"Kentucky, USA",4,45,New American Oak,40,0,70,60,70,80,70,40,0,20,60,50,40
153,Lark Single Malt Single Cask,Peated Single Malt,"Tasmania, Australia",4,43,ex-Aussie-style port oak Quarter Casks,40,60,70,50,45,65,65,50,20,20,40,80,30
154,Lark Single Malt Cask Strength,Peated Single Malt,"Tasmania, Australia",5,58,ex-Aussie-style port oak Quarter Casks,45,45,70,60,40,70,70,70,20,50,30,80,20
155,Hakushu 25 Year,Peated Single Malt,Japan,5,43,Ex-Sherry,70,40,50,45,60,57,62,30,35,20,15,75,59
156,Johnnie Walker Green Label 15 Year,Peated Blended Malt,Scotland,3,43,American and European oak,40,40,50,30,30,70,80,70,20,50,40,80,30
157,Cameron Bridge 26 Year The Knight's Golden Triumph (2022 Special Release),Single Grain,"Lowlands, Scotland",5,52.6,refill American oak cask,0,0,55,10,10,45,45,40,0,25,5,55,25
158,Angel's Envy Bourbon Finished in Port Wine Barrels Cask Strength (2022 Edition),Bourbon,"Kentucky, USA",5,59.9,finished in port wine barrels,30,0,65,20,15,60,60,40,0,20,35,70,10
159,Parker's Heritage Double Barreled Blend,Bourbon,"Kentucky, USA",5,66.1,"new, charred American oak; finished in new charred American oak (char #3)",25,0,40,15,15,80,80,50,0,25,30,40,0
160,George Dickel 13 Year Bottled in Bond Tennessee Whisky (Fall 2008),Tennessee,"Tennessee, USA",2,50,"new, charred American oak",10,0,60,10,20,55,55,60,5,20,25,15,0
161,Michter's US*1 Toasted Barrel Sour Mash Whiskey (2022 Release),Other Whiskey,"Kentucky, USA",4,43,"new, charred American oak; finished in toasted barrels",5,0,25,5,25,90,85,65,0,30,10,40,0
162,Old Forester Birthday Bourbon 2022,Bourbon,"Kentucky, USA",4,48,"new, charred American oak",35,0,55,35,25,55,60,50,0,45,35,35,0
163,Bowmore x Aston Martin Masters' Selection 21 Year,Peated Single Malt,"Islay, Scotland",5,51.8,includes first-fill Pedro Ximemez and oloroso sherry casks,25,30,30,10,20,55,55,60,5,30,20,60,0
164,Little Book Chapter 5: The Invitation,Blended American Whiskey,"Kentucky, USA",4,58.4,"new, charred American oak ",5,0,30,10,15,90,70,75,0,20,25,30,0
165,Michter's 10 Year Single Barrel Kentucky Straight Rye (2021 Release),Rye,"Kentucky, USA",5,46.4,"new, charred American oak ",10,0,40,30,10,85,80,70,0,20,30,20,10
166,Benriach The Twenty Five,Peated Single Malt,"Speyside, Scotland",5,46,"bourbon, sherry, virgin oak, Madeira wine",10,5,30,8,20,65,80,70,5,40,30,60,5
167,Remus Repeal Reserve Series V (2021 Medley),Bourbon,"Indiana , USA",4,50,"new, charred American oak",35,0,65,20,15,50,50,60,0,45,30,40,0
